entity,competitor_probability,competitor
Google Cloud,99.03529286384583,1
Google,98.39614629745483,1
Dynamo,97.90175557136536,1
Amazon,97.7044939994812,1
Cassandra,95.28484344482422,1
Databricks,94.63999271392822,1
EMR,92.72133111953735,0
Couchbase,91.74841642379761,0
Verve,91.6696310043335,0
Excel,89.58910703659058,0
LA CTO,88.32319974899292,0
UI,87.71051168441772,0
Gartner,87.02958822250366,0
Rubicon,85.82230806350708,0
Redshift,84.50242280960083,0
MapReduce,83.62321853637695,0
Azure,83.563631772995,0
Elastic,83.26163291931152,0
Apache,83.10392498970032,0
MongoDB,80.83458542823792,0
Oracle,72.04165458679199,0
